wxn1,wxn2,wxn3,wxn4,wxn5,wxn6,wxn7,wxn8,wxn9,wxn10,wxn11,wxn12,wxn13,y0
1,301,5.55,3.2,40,33,20.96,5.2,12,1,5,2,1,1
1,302,7.3,5.99,28,30,20.7,4.3,14,2,5,2,4,1
1,303,6.2,14.84,33,28,28.125,7.37,37,1,5,1,2,1
1,304,7.25,7.81,65,32,21.778,5.67,16,1,5,2,4,1
1,305,6.11,3.23,41,31,21.48,3.28,11,2,3,2,4,1
1,306,9.75,3.63,66,31,18.987,5.64,10,1,5,1,1,0
1,307,6.29,6.2,30,25,19.76,4.21,16,2,3,1,1,1
1,308,6.56,6.25,26,26,22.43,6.33,15,2,3,1,1,1
1,309,8.41,4.84,26,29,29.69,4.06,18,2,5,2,4,1
1,310,7.86,5.71,32,28,22.1,5,19,1,5,1,1,1
1,311,5.96,5.55,55,26,21.218,6.28,26,1,5,1,4,0
1,312,6.81,3.56,58,29,20.029,8.49,18,1,5,1,4,0
1,313,8.35,7.36,24,30,17.07,3.41,11,1,5,1,1,1
1,314,7.14,5.24,57,30,18.96,10.03,12,1,5,2,4,1
1,315,6.78,2.65,58,28,19.289,3.14,18,1,5,2,2,0
1,317,7.12,4.79,28,24,17.915,4.38,25,1,5,1,1,1
1,318,4.46,3.01,29,29,25.391,4.73,15,2,3,1,4,1
1,319,8.42,4.24,27,30,22.547,5.71,15,2,3,1,4,1
1,320,8.88,6.98,37,30,17.625,4.01,14,2,5,1,1,1
1,321,7.41,4.53,58,30,19.841,13.52,34,1,5,2,1,1
1,322,8.33,14.83,31,33,23.5,6.47,18,1,5,1,1,1
1,323,7.58,6.31,47,32,20.703,5.12,26,1,5,1,1,0
1,325,5.35,3.64,23,29,24.142,8.85,27,2,5,1,2,1
1,326,8.33,5.19,49,29,16.026,3.04,11,2,3,1,3,1
1,327,5.41,4.22,74,27,20.069,4.51,22,2,5,2,1,1
1,328,8.19,3.86,29,28,20.661,4.81,12,2,3,2,1,0
1,329,7.04,3.77,40,26,21.27,2.06,13,2,3,1,1,1
1,331,6.77,5.11,39,26,16.415,3.35,17,1,5,1,1,1
1,332,6.64,5.25,8,32,24.456,7.29,20,2,5,1,3,0
1,333,7.81,2.24,44,24,19.068,3.39,11,2,3,1,4,1
